	text	Task1
6783	  Where were all these people when Ram Setu was to be destroyed Where were you when your coalition partner Karunanidhi commented on Sri Ram	non-sexist
6784	    Mmmmm sweet pussy hole  xx	non-sexist
6785	Yo i hate being a freakin woman where can i grow my new dick	non-sexist
6786	I guess i was a cunt to a woman who was flirting with our married friend wife is put of town She knows he is married etc Good	non-sexist
6787	Ive done the same If Im already getting pussy why would I wanna fuck my female friends Not every hole is a goal honestly Honestly 	non-sexist
6788	MEC Panyaza Lesufi will visit a Mamelodi school to receive a report on the alleged rape of a yearold girl pupil 	non-sexist
6789	  If you feeling like pimp james go ahead and brush your shoulders off	non-sexist
6790	      Glaring deficiencies in healthcare ignored Building stupid Ram mandir and statues are given prominence UP is suffering from Sangh poison	non-sexist
6791	  Garth crooks is a stupid fat Ozil looking cunt	non-sexist
6792	  Had this play heappened in a ERRAM game would you bore us on that too	non-sexist
6793	There s an aampr Dj that works at radio owes alot of uk artist in my era a massive apology u played alot of games god na sleep pussy hole	non-sexist
6795	Thinking about my beautiful woman tina i love you  And working in the hell hole	non-sexist
6796	Jesus Sex Trafficking is grim A lot of these women were damaged by something happening to them and thats where the pimp took advantage	non-sexist
6797	  What great you will achieve by building Ram Mandir Crook	non-sexist
6798	  Okey lets build Ram Mandir Dare you to answer	non-sexist
6799	    You are living in world of illusionsno RAM MANDIR and Dara  will not be removed before elections in 	non-sexist
6800	  British people say cunt like American people say dude I not know this woman at counter asked me for help  	non-sexist
6801	    True many women think Karl is a dick and Lisa is fantastic	non-sexist
6802	Why wont any eat my pussy well first off we got to many fish markets around here hoe your pussy should smell pussyishy not brim fishy	non-sexist
6803	The next message you need is always right where you are  Ram Dass  	non-sexist
6804	  stupid cunt	non-sexist
6805	      I Want Ram Mandir  Development in India Do you want both or Nothing	non-sexist
6806	Theres not a woman on here impressed by your dickpicasprofilepic guys We get that youre proud of it but thats not sexy Put it away	non-sexist
6807	never make yo main look stupid for a hoe	non-sexist
6808	  Then please hurry you have only  days left to build Shree Rams Temple  a hospital across Saryu	non-sexist
6809	the simple fact of you calling a girl hoe just because she rejected you shows how much you didn t deserve her	non-sexist
6810	The poor kid wanted a fuck and got a bitch prego and now is fucked for life hahahahaha dumb cunts	non-sexist
6811	Speaking of creepy This narcissist sounds like a creepy guy on the run from a rape charge Being Putins bitch not that satisfying 	non-sexist
6812	    Stupid cunt chelsea have  starting player out long term	non-sexist
6813	  good you slag Comedy Central hasn t been about comedy since  	non-sexist
6814	  pimp Butters  do you understand what I am saying 	non-sexist
6815	    that could couldnt tell you the starting QBmuch less what a Ram isloljk	non-sexist
6816	Wishing the one and only   very Happy Birthday and Happy Diwali Hope you do best whatever you do Jai Shri Ram Jai Mata Di	non-sexist
6817	Robert DeNiro used his Tribeca Grill as after hours whorehouse to Pimp young women to Harvey Weinstein   	non-sexist
6818	This stupid dick head didn t say thank you when I held the door for him going into  so I pulled that shit close in his face when I left	non-sexist
6819	Cunt of the year qualifier Blocked the path A woman with a six month old kid in a pram had to walk in the road with traffic because of him 	non-sexist
6820	Ive never liked   and he didnt endear himself with the Sean Spicer bromance and Stupid Weistein jokes Bit of a cunt	non-sexist
6821	Isn t it funny how people are so quick to slag you off behind a keyboard but when they see you in person they run away	non-sexist
6822	  I wont tell women to suck my dick as you did 	non-sexist
6823	lmao   doesnt like the truth but he left a comment from someone who quoted me what a stupid cunt 	non-sexist
6824	 Weinstein refers to the rape of  year old girl as socalled crime 	non-sexist
6825	u a stupid ho	non-sexist
6826	    Your an idiot slag him off behind his back call him out you have a Problem	non-sexist
6827	You cant have sex with a personality	non-sexist
6828	Women have become bigger players than men The tides have turned my friends	non-sexist
6829	Start your week right with our favorite music video of  featuring one of our best supporters 	non-sexist
6830	  thanks for the follow DM for info about upcoming meetings and events  	non-sexist
6831	  Thank you for supporting our cause Brandon	non-sexist
6832	New to Twitter any men on here know what the process is to get  	non-sexist
6833	  Couldnt agree more Thanks for supporting our cause Check out our account and DM for info about upcoming events  	non-sexist
6834	RT   A good time was had by all to describe a time that only you enjoyed  	non-sexist
6835	  Although you are a woman you make an excellent point Thanks for the support  	non-sexist
6836	  Excellent point Looney Can we use this quote in our brochure Let us know Thanks for supporting our cause  	non-sexist
6837	  Dave this is a really solid point Thanks for supporting  	non-sexist
6838	  Exactly Thanks for the support  	non-sexist
6839	  We say this all the time You should try to come to one of meetings brother Thanks for the support  	non-sexist
6840	  Women everywhere really Thanks for the support Michael  	non-sexist
6841	    So true guys Thanks for your support Check out our account for info on upcoming events  	non-sexist
6842	   	non-sexist
6843	  the worst thanks so much for your support  	non-sexist
6844	  thank you for your support Wed love it if you came to our next meeting  	non-sexist
6845	  hey man were finally on twitter and just wanted to thank you so much again for the ongoing support you are so inspiring	non-sexist
6847	  Couldnt agree more Refreshing to see a woman who feels the same	non-sexist
6848	  So true Yet another case for  	non-sexist
6849	  yes Thank you for the support  	non-sexist
6850	  truth	non-sexist
6851	  hey brother loved the performance the other night  	non-sexist
6852	  amen man would love to see you at one of our upcoming events check out our account for more info  	non-sexist
6853	  touch   	non-sexist
6854	RT   This Is How Men Should Support Feminists As Told By A Young Conservative Libertarian Male 	non-sexist
6855	  we are too brother Thanks for the support wed love you to come meet with us  	non-sexist
6856	RT         you know what This is the only double standard were allowed lol	non-sexist
6857	RT     followed you	non-sexist
6858	  	non-sexist
6859	RT   Why are guys expected to text girls first    	non-sexist
6860	Just want to say thank you to   and   for their great work in the past  	non-sexist
6861	  hurry up on the ham and cheese	non-sexist
6863	  we are gonna be friends   	non-sexist
6864	RT   RT to save someones life it only takes a second you dont know wholl need it   	non-sexist
6865	RT        Seriously    When will women stop treating us like obj 	non-sexist
6867	  what does the word Parody clearly stated in the bio mean to you	non-sexist
6868	RT       	non-sexist
6869	RT   Im crying over the   tweets 	non-sexist
6870	  were not just objects that entertain you we have feelings too  	non-sexist
6871	Whats  inches long  inches wide and drives women crazy A  bill	non-sexist
6872	    calm down this parody account is live again that was close tho u guys almost had an impact on something  	non-sexist
6873	      because 	non-sexist
6874	      so   is fine but   should burn in hell Looks like someone didnt get their way	non-sexist
6875	The whining never stops   	non-sexist
6876	A reminder this is a parody account used for entertainment Tweets should be taken almost as seriously as we take   tweets	non-sexist
6877	Couldnt have said it better   	non-sexist
6878	This is how I feel about all our haters right now   	non-sexist
6879	Because running the world is harder than youd think  	non-sexist
6880	Its a lovely evening to 	non-sexist
6881	  Im white Is there no such thing as racism against whites 	non-sexist
6882	  Are you homophobic	non-sexist
6883	    then what is  	non-sexist
6884	lets get rid of womens sports and make men and women play side by side  	non-sexist
6885	When yo girl start yelling at you for no reason 	non-sexist
6886	great article about title IX and why it needs to be removed ASAP  years of crap It needs to go 	non-sexist
6887	    New blog Fighting for Mens Rights  have a look   	non-sexist
6888	          New blog previously Man of the Month 	non-sexist
6889	The man won this one 	non-sexist
6890	Feminists husbands  	non-sexist
6891	    Oxymoron Of The Day Independent Women	non-sexist
6892	  because cars need to be built repaired and driven correctly by someone	non-sexist
6893	How did the medical community come up with the term PMS Mad Cow Disease was already taken	non-sexist
6894	  Blog for   who want to join the mens rights movement to cancel   bullit 	non-sexist
6895	Oxymoron of the Day Factual Feminist See the Blog 	non-sexist
6896	  oh ya because in   of America said they caredsupported womens rights	non-sexist
6897	  well if feminists make up stats all the time cant a guy Double standard yet again 	non-sexist
6898	  watch the video and youll understand	non-sexist
6899	 A monthly blog about men of action for mens rights Use your RSS feed to receive it      	non-sexist
6900	          Once a month a man of action is highlighted Check it out today 	non-sexist
6901	  India men should grab the RSS feed of my blog to see men of the world fighting for mens rights 	non-sexist
6902	 See the monthly post that highlights men of action Mens rights are here      	non-sexist
6903	Men are fighting for their rights Subscribe with RSS     	non-sexist
6904	Red Sox fans are following my blog Mens rights today        	non-sexist
6905	Men throughout the world are fighting for mens rights Follow my blog     	non-sexist
6906	The   will not support mens rights What are YOU doing about it See the blog watch men of action 	non-sexist
6907	Show your support Subscribe by RSS Mens rights advocates are growing     	non-sexist
6908	  Walmart     Help your fellow man Subscribe to the blog today 	non-sexist
6909	Egyptian men will soon be fighting for mens rights             	non-sexist
6910	Follow my blog See the men who arefighting for mens rights         	non-sexist
6911	Stop the spread of   Fight for mens rights today           	non-sexist
6912	  is the typical sexist bigoted allfemale show that berates males End   today Men are fighting 	non-sexist
6913	Women are rejecting   but are not actively supporting mens rights Why 	non-sexist
6914	  The next social movement will be about stopping women who abuse children It is a real problem 	non-sexist
6915	I like to blog about masculinity fascism alternative ideas heres my next account	non-sexist
6917	  Yes you are right I must save the philosophical stuff for others Different people have different skillsrolesU are soldier	non-sexist
6918	  Okay good As long as the Men are comrades with same beliefmovement can join same group to fight enemies	non-sexist
6919	   hey thats a fair fucking trade 	non-sexist
6920	When your ex leaves her shoes at your place 	non-sexist
6921	Remember nothing says I love you like letting her pay for dinner It shows her that you really trust her to take care of you	non-sexist
6922	Her remember when you said you loved me Me 	non-sexist
6923	Me trying to hold my life together 	non-sexist
6924	Talent Fucking up EVERYTHING	non-sexist
6925	When somebody tells me theyre off work for Presidents Day 	non-sexist
6926	  youre a goddamn savage	non-sexist
6927	RT   caught myself giving a dirty look to a pigeon today no one is safe	non-sexist
6928	When you know its time to give up on that New Years resolution and stop going to the gym 	non-sexist
6929	When the whole squads outfits are on point 	non-sexist
6930	Theres no bigger turn off while sexting than someone that doesnt know the difference between your and youre	non-sexist
6931	I digest relationships before we ever breakup Smooth transition	non-sexist
6933	If Im only nice to you and dont insult you I dont want to sleep with you	non-sexist
6934	When eating the groceries didnt quite go as planned 	non-sexist
6935	When youre sneaking snacks into the movie theater 	non-sexist
6936	When you cop that new Burberry moo moo 	non-sexist
6937	Im kind of a big deal for someone who aint shit	non-sexist
6938	When youre acting like you have your life together but you really have no clue what the fuck is going on 	non-sexist
6939	  	non-sexist
6940	Her whats for dinner Me 	non-sexist
6941	RT        with repostapp 	non-sexist
6942	Apparently asking a doctor if she wants to come to your room and play doctor is not an appropriate question	non-sexist
6943	When your Jewish friend tells you what she gave up for Lent 	non-sexist
6944	When your friend owes you money but they keep checking into fancy places on Facebook 	non-sexist
6945	When youve just met someone and they start to tell you their life story 	non-sexist
6946	When anyone calls me about anything ever 	non-sexist
6947	When you walk past someone and they mumble somethin under their breath 	non-sexist
6948	I like to delete comments that say first to assert my dominance	non-sexist
6949	Im so anti social that I avoid people in my phone	non-sexist
6950	When your friend tells you they just got an android 	non-sexist
6951	Person hey can you Me  	non-sexist
6952	Where do you see yourself in  years Me 	non-sexist
6953	When its   birthday 	non-sexist
6954	When she asks what that mouth do 	non-sexist
6955	When you thought youd try a little s  m and now your ass hurts so bad you can hardly sit 	non-sexist
6956	When your best friend asks you wheres a good place to hide a body 	non-sexist
6957	When someone goes on vacation and owes you money 	non-sexist
6958	When youre chillin and the Thai food kicks in 	non-sexist
6959	When your leg cramps up while youre fuckin 	non-sexist
6960	When youre chillin and the Taco Bell hits you 	non-sexist
6961	Friend we should talk about what you did when you were drunk last night Me 	non-sexist
6962	My  vs my s 	non-sexist
6963	Weekends vs weekdays 	non-sexist
6964	When you got a sugar daddy and went from rags to riches 	non-sexist
6965	Leo after he loses again 	non-sexist
6966	When you finally get what you deserve 	non-sexist
6967	How butter faces take selfies 	non-sexist
6968	When youre practicing being homeless 	non-sexist
6969	If youve never choked on a dick have you really ever had sex	non-sexist
6970	When she got you caught up and youre tryna figure out how youre gonna lie your way outta this one 	non-sexist
6971	When its not your fathers birthday 	non-sexist
6972	When you finally find the one 	non-sexist
6973	If all of you exs are psychotic nut jobs Congratulations you have good dick my friend	non-sexist
6974	RT   Things that seem like they could turn out okay but never do turkey bacon cutting your hair having a conversation wi 	non-sexist
6975	RT   People with babies keep posting about how shitty they are so I always feel good about never having any	non-sexist
6976	RT   I bet a lot of peoples therapists are dying to meet me just to see if the stories are true	non-sexist
6977	When you think youre going on a date and she shows up with her bff and shakes your hand 	non-sexist
6978	 like   more facial hair  	non-sexist
6979	All my friends live vicariously through my penis	non-sexist
6980	When bae asks you where you wanna eat 	non-sexist
6981	When youre trying your best to fit in 	non-sexist
6982	When youre trying to figure out if you have enough space on your phone to make a new sex tape 	non-sexist
6983	I have condoms everywhere cause I bought a value pack once and never used one of them	non-sexist
6984	When Im trying to figure out how my dick hasnt fallen off yet 	non-sexist
6985	Dont sell me dreams cause Ill return them as nightmares	non-sexist
6986	When youre out to eat with your girl and the waitress knows you by name 	non-sexist
6987	So is Caitlyn celebrating half the day or nah	non-sexist
6988	When someone offers you the last piece of pizza 	non-sexist
6989	When youre sneaking in after a long hard night of cheating and dont wanna wake your girl cause youre a good guy 	non-sexist
6990	People why are you such an asshole Me 	non-sexist
6991	You didnt have a choice that things never comin off 	non-sexist
6992	I hate playing never have I ever cause I have	non-sexist
6993	RT     you are VILEEEE 	non-sexist
6994	  you just figured that out	non-sexist
6995	Kanye with a hint of more Kanye the fuck you thought	non-sexist
6996	Raise your hand if youve ever been personally victimized by carbs 	non-sexist
6997	When you finally catch that cunt thats been leaving  under baes pics 	non-sexist
6998	When her head game is as good as she claimed it to be so you gotta smile and thank god  	non-sexist
6999	When you get home from the bar and realize you have no alcohol 	non-sexist
7000	You know when youre fuckin someone and youd rather be fuckin their best friend Thats the worst	non-sexist
7001	When you shaved and all he was good for was ten minutes of missionary and the choke of a child 	non-sexist
7003	When you see your first pair of titties 	non-sexist
7004	When you see your ex in public and they start smiling at you all weird n shit 	non-sexist
7005	Am I the only one that sings love songs to myself while thinking about myself	non-sexist
7006	I either laugh or turn into a complete psychopath when Im mad either way no one is safe	non-sexist
7007	My friends kids are being shitheads and they just took them upstairs to get showered Guess who keeps flushing the st floor toilet	non-sexist
7008	When Im trying to get my life together 	non-sexist
7009	Goals AF 	non-sexist
7010	Its not the walk of shame if youre shameless	non-sexist
7011	Its not the walk of shame if you truly give no fucks	non-sexist
7012	When your whole life is falling apart but you refuse to let them see you sweat 	non-sexist
7013	If you hate fuckboys its only cause you let one break your stupid little heart Dumb dumb	non-sexist
7014	How fast I catch feelings vs how fast I move on 	non-sexist
7015	RT   When you first start dating vs a year later 	non-sexist
7016	When you ask her what that mouth do 	non-sexist
7017	When youve been talkin to someone for  weeks and they say the love you 	non-sexist
7018	Pro Tip Stop waiting for me to care its not gonna to happen	non-sexist
7019	I gotta stop drinking and memeing 	non-sexist
7020	When someone announces theyre unfollowing 	non-sexist
7021	This is the only award I deserve in life 	non-sexist
7022	Introvert level expert 	non-sexist
7023	See I would like your selfie but the way my pride is set up Id rather just look at it	non-sexist
7024	When someones talking about something other than me 	non-sexist
7025	Person I dont like you Me 	non-sexist
7026	When you win the lesbian olympics 	non-sexist
7027	When youre fat but so cute that everyone loves you anyway 	non-sexist
7028	When youre out to dinner but you wanna make sure they know what set you claimin 	non-sexist
7029	When alcohol companies tell you to please drink responsibly 	non-sexist
7030	It was deleted again Working on getting it back  	non-sexist
7031	You give me life  	non-sexist
7032	Flirting in  	non-sexist
7033	If bios told the truth 	non-sexist
7034	Should be able to get it back  	non-sexist
7035	When you tryna holla at a bitch and ya boy comes up talkin bout this nigga broke AF and likes fingers in his ass 	non-sexist
7036	When the pizza man is more than a minute late 	non-sexist
7037	When she posts about you thinking it will get you to text her 	non-sexist
7038	Introducing the Im over  and no man wants me pillow 	non-sexist
7039	Boys seem to like the girls that laugh at anything Unless its their dick size	non-sexist
7040	When you wake up and see the drunk text you sent without using textpert 	non-sexist
7042	When youre tryna sneak out their crib quietly in the middle of the night 	non-sexist
7043	When youre on a first date and they start talkin about their ex 	non-sexist
7044	When youre on a first date and she asks to talk to the manager 	non-sexist
7045	If my life was a sandwich it would be this 	non-sexist
7046	When you know youre a piece of shit and own it like a boss 	non-sexist
7047	When your crush finally slides in ya DM 	non-sexist
7048	When I go out for just one drink 	non-sexist
7049	My man just left come o 	non-sexist
7050	When someone announces that they are officially unfollowing 	non-sexist
7051	Me what do you bring to the table Her I am the table Me good lemme rest my feet on you dumbass See how dumb you sound	non-sexist
7052	Coworker good morning Me 	non-sexist
7053	When you finally find yourself a sugar daddy and all your dreams come true 	non-sexist
7054	When youre out drinking all night vs when the bill comes 	non-sexist
7055	When I think about all the people that hate me 	non-sexist
7056	Most people want to be loved But I thrive on being hated	non-sexist
7057	The awkward moment when Lexus is showing you how much crack fits in the cup holders 	non-sexist
7058	True AF  	non-sexist
7059	I never smile and I hate to brag but I can say cheese without smiling too	non-sexist
7060	When autocorrect just gets you 	non-sexist
7061	When you have to work tomorrow and your coworker says happy Friday 	non-sexist
7062	When a stranger tries to talk to me 	non-sexist
7064	When the DJ plays your joint and the whole crew gets lit 	non-sexist
7065	Always remember its not whether you can or you cant but that nobody gives a fuck either way	non-sexist
7066	What the  Air Jordans gon look like 	non-sexist
7067	Daaaaaaamn white people Back at it again with some more stupid shit 	non-sexist
7068	When someone tries to threaten me 	non-sexist
7069	This is the kind of Easter egg hunt I need 	non-sexist
7070	Please stop swapping your faces youre ugly enough as it is	non-sexist
7071	When someone that never has any weed asks to hit the blunt 	non-sexist
7072	When the whole squad is coming over for dinner 	non-sexist
7073	When men leave dumb comments thinking its gonna hurt my feelings 	non-sexist
7074	Do you ever rap in your whitest voice possible or is that just me	non-sexist
7075	Talent Pissing people off by just existing	non-sexist
7076	 minutes into prison and chill and you drop the soap 	non-sexist
7077	Her can I stay the night Me 	non-sexist
7079	When friends find out what a sick psychopath I really am  	non-sexist
7080	Someones grandmother out here tryna get shot TF up 	non-sexist
7081	When your lifes lit as FUCK 	non-sexist
7082	When he calls you princess 	non-sexist
7083	Her how come you never called me again after we fucked Me 	non-sexist
7084	RT   Its April fools day but I clown you bitches every day Imma take the day off have a good day see you tomorrow Stolen fr 	non-sexist
7085	When youre livin life on the edge but safety always comes first  	non-sexist
7086	Talent Making people think I give a shit about their stupid fucking life	non-sexist
7087	When its April fools but this isnt a joke 	non-sexist
7088	I dont eat pineapple wtf do I care what my nut tastes like thats your problem not mine	non-sexist
7089	I only nap so that the time between not drinking and drinking again comes faster	non-sexist
7090	  I can always tell when youre drunk cause youre lighting up Twitter in the middle of the night 	non-sexist
7091	Sure And I wear condoms  	non-sexist
7092	No comment  	non-sexist
7094	Nah nah nah  	non-sexist
7095	When you see one of your followers you wanna fuck on tinder 	non-sexist
7096	Dick still big tho  	non-sexist
7097	Is DM you but apparently you dont respond to me anymore  	non-sexist
7098	Last time I DM you 	non-sexist
7099	RT   Snapchat me that PIN number if its cool                           	non-sexist
7100	RT                             	non-sexist
7101	Getting coffee with bae 	non-sexist
7102	When I see men wearing skinny jeans 	non-sexist
7103	When you bust a nut in  seconds 	non-sexist
7105	When you have good dick and cut her crazy ass off 	non-sexist
7106	This is why I hate people 	non-sexist
7107	Me after The Walking Dead season finale 	non-sexist
7108	When he cancels your dick appointment 	non-sexist
7109	When your girlfriend gets a new hair cut 	non-sexist
7110	When your head game is fire as fuck 	non-sexist
7111	When cuffin season is finally over 	non-sexist
7112	How I keep my block finger strong AF 	non-sexist
7113	 minutes into free tinder dinner and chill and he gives you this look  	non-sexist
7114	I wish kids were like cars Once you cant afford them they come and repossess them	non-sexist
7115	You ever open Facebook and think Jesus Christ these fuckin idiots again Cause same	non-sexist
7116	How to cure yourself from reporting pics and pages  	non-sexist
7117	Pro Tip Copyright all your nudes and videos so when that idiot in your life thinks its cute to post them you can sue the shit out of them	non-sexist
7118	When she tells you she likes guys that read 	non-sexist
7119	I aint even know there was  fat Kardashians till today 	non-sexist
7120	My hobbies include teaching hard lessons 	non-sexist
7121	Im not the one to let people profit on my back Ill break yours and take whats mine 	non-sexist
7122	Its what I do its who I am 	non-sexist
7123	This day is also known as national catch a sexual harassment charge day 	non-sexist
7124	Every one of these takes  minutes off your shitty relationship 	non-sexist
7125	I feel like I should be featured at this camp 	non-sexist
7126	When they tell you theres no wifi 	non-sexist
7127	When the bartender cuts you off 	non-sexist
7128	RT   If you verbally abuse a fuckboy is it considered animal cruelty Asking for a friend Also can said friend end up in 	non-sexist
7129	I used to only fuck bartenders cause I have a very expensive drinking habit	non-sexist
7130	When youve run out of kids to pimp out and you gotta figure out what to do with your life 	non-sexist
7131	When she sees your dick for the first time and its bigger than she expected 	non-sexist
7132	When someone says happy Friday but you have no life and no plans for the weekend 	non-sexist
7133	FFS That sounds as good as his grammar  	non-sexist
7134	You dont know me yet you hate me and thats cool But guess what I dont hate you cause I would never waste my energy on a stranger	non-sexist
7135	Daaaaaaaaaaaaaaaamn   back at it again with some more drunken tweets 	non-sexist
7136	Oh god thats so much worse Have a good evening Kbye 	non-sexist
7137	Count on it 	non-sexist
7138	Charles Manson out here gettin married in jail and your lame ass cant even get a text back 	non-sexist
7139	I wonder is this is where Caitlyn gets his car services  	non-sexist
7140	When someone tries to take the last piece of pizza you paid for 	non-sexist
7141	When youre hungover AF and you realize tomorrow is Monday 	non-sexist
7142	What in the actual fuck 	non-sexist
7143	RT   When u act interested in a story but really ur thinkin about how u ordered pizza an hour ago and it still aint here h 	non-sexist
7144	Sometimes you just gotta throw a mutha fucka at another mutha fucka to let a mutha fucka know whos boss 	non-sexist
7145	Deleted again Working to get it back again 	non-sexist
7146	When your boys fuckin the neighborhood hoe and yall tryna watch through a cracked door 	non-sexist
7147	When he promised you the time of your almost over life but the Viagra isnt working 	non-sexist
7148	The amount of stupid people in this world really makes me consider wearing condoms Im not gonna but I be considering it	non-sexist
7149	When I see my memes and tweets stolen and watermarks wiped so you can put them on your pathetic ass page 	non-sexist
7150	Next time I ask a chick what she wants to eat and she says I dont care this is wtf shes gettin 	non-sexist
7151	When you gotta hit the block at  but gotta chop a tree down at  	non-sexist
7152	She wanna be a stingray so bad 	non-sexist
7153	People that post about how blessed they are always make me wonder who theyre trying to convince It aint me I know about your coke habit	non-sexist
7154	Aint that the truth 	non-sexist
7155	  romance isnt dead	non-sexist
7156	My friends know better 	non-sexist
7157	I like to tell people that I drink every night cause I cant sleep but at this point its just a blatant lie cause Ive been tired for years	non-sexist
7158	It is a glorious life that I lead 	non-sexist
7160	Talent Making people feel way more comfortable with me than they should be	non-sexist
7161	Im my only liability	non-sexist
7162	This picture best describes my maturity level 	non-sexist
7163	When youre on your way to a dick appointment 	non-sexist
7164	People dont scare me my inability to be scared by people sometimes does tho	non-sexist
7165	Theres an application an interview Its a whole process  	non-sexist
7166	  and   have final say over all applicants 	non-sexist
7167	Idk thems the rules I dont make them I just spread awareness 	non-sexist
7168	Who wore it better 	non-sexist
7169	loooooooooooool I dont date sweetheart Just dick appointments 	non-sexist
7170	You first 	non-sexist
7171	When life gives you lemons just remember Nobody gives a fuck keep that shit to yourself	non-sexist
7172	  stop controlling me  	non-sexist
7173	NEVERRRRRRRRRRR 	non-sexist
7174	I change the words from welcome to my house to welcome to my mouth and sing it in my head when Im eating pussy	non-sexist
7175	Do what 	non-sexist
7176	Right Its really all I live for 	non-sexist
7177	I like to fuck meme makers and never talk to them again just so I can see the angry sub posts Im an asshole like that	non-sexist
7178	How I take STD tests 	non-sexist
7179	I put the AGE in savage cause Im old AF	non-sexist
7180	If you dont love and hate me at the same time then we probably arent really friends	non-sexist
7181	I thought my penis made me me but whatev 	non-sexist
7182	Aw  I owe you a mustache ride 	non-sexist
7183	Friend do you have any plans this weekend Me 	non-sexist
7184	If your in a good relationship its probably cause youre both ugly	non-sexist
7185	When he promised you he was gonna fuck the shit out of you but cant even make it to round two 	non-sexist
7186	My favorite thing to hear is too deep too deep right before I go deeper	non-sexist
7187	Ill only break your heart to make you stronger as a person Lmao you should thank me really	non-sexist
7188	Co worker how was your weekend Me 	non-sexist
7189	How real friends greet each other 	non-sexist
7190	I wont be satisfied until Im so famous that I cant go out in public Cause at least then Ill have a good excuse not to go out	non-sexist
7191	Her you usually wear condoms tho right Me 	non-sexist
7192	I like to go to AA to remind myself that Im not a real alcoholic and how great my life really is	non-sexist
7193	When someone brings a screaming kid into a restaurant and acts like nothing is happening 	non-sexist
7194	I dont DM anyone but feel free to DM me 	non-sexist
7195	When I come across random mens accounts that have me blocked 	non-sexist
7196	  I guess so Oh well  	non-sexist
7197	When your ride for work came early but you werent done stalkin all of baes social media pages 	non-sexist
7198	I dont go on dates I make dick appointments	non-sexist
7199	When I see someone I cant stand and get stuck talking to them 	non-sexist
7200	When someone says theyre unfollowing for what I post on MY FUCKING PAGE FOH 	non-sexist
7201	RT   When a fart slips out in front of your fella for the first time 	non-sexist
7202	When your friend offers to help spice up your relationship out of the blue 	non-sexist
7203	Shoutout to everyone that uses ur instead of your or youre cause youre too stupid to know the difference	non-sexist
7204	When you get to your friends place after the bar and they have no alcohol 	non-sexist
7205	When youre about to leave the bar with a booger but youre just not quite drunk enough to not care 	non-sexist
7206	  hi 	non-sexist
7207	Watch my snap story tonight it will be all over it  	non-sexist
7208	This is the most important sign Ive ever seen in my life 	non-sexist
7209	When you unfollow someone and they DM you to ask you why 	non-sexist
7210	When people tell me I should settle down get married and have kids 	non-sexist
7211	Me trying to flirt 	non-sexist
7212	RT       	non-sexist
7213	When your best friend tries to go out of town without you 	non-sexist
7214	RT    	non-sexist
7215	If I can get your mouth pregnant Im down 	non-sexist
7216	When Im fuckin and her husband walks in the front door 	non-sexist
7217	If you find me funny its only because you have serious issues and that shit is hot AF to me	non-sexist
7218	When you cut her off and the dick is bomb 	non-sexist
7219	Pro Tip Gray board shorts show a dick print just as good as gray sweats	non-sexist
7220	It must be amazing to be me	non-sexist
7221	Only I could get kicked out of a club for just being	non-sexist
7222	  oh haiiiiiii 	non-sexist
7223	When you send a dick pic and get no response 	non-sexist
7224	When youre at your ugly friends bachelorette party and you cant even get a text back 	non-sexist
7225	No one gives less fucks than a grown man using a selfie stick in public	non-sexist
7226	Waking up seeing drunk texts you sent from the night before 	non-sexist
7227	I started stroking it instead 	non-sexist
7228	Your the second one to say that but I still have it and can see it 	non-sexist
7229	When I look at the shit that I post 	non-sexist
7231	Id make an acceptation for you  	non-sexist
7232	When someone ugly slides in your DM Naked 	non-sexist
7233	  can I serve you dinner	non-sexist
7234	When you wake in a randoms bed with no recollection of who she is or how you got there 	non-sexist
7235	I like to play a game called what idiots that I cant stand is FB gonna suggest I friend today	non-sexist
7236	When your friend moves away to be with someone 	non-sexist
7237	Friend hows life treating you Me 	non-sexist
7238	When your friend wont stop talking about their ex 	non-sexist
7239	I assert my dominance like a cop doing the speed limit on the highway	non-sexist
7240	When youre up till am but had to be to work by  	non-sexist
7241	When you wake up and shes gone 	non-sexist
7242	RT     I have actually asked why are you still here to a mans face before	non-sexist
7243	Stop confusing good sex with love thats childish	non-sexist
7244	You down or nah 	non-sexist
7245	Gross  I dont date 	non-sexist
7246	Thats you tryna see me 	non-sexist
7248	Her what should I call you Me 	non-sexist
7249	I dont need anyone on my dick I stay on my own dick	non-sexist
7250	I thought I saw a dead dog on the side of the road and was about to lose it but then I realized it was just a cat	non-sexist
7251	Beer wine or liquor is the toughest decision I have to make everyday	non-sexist
7252	Watching kids grow up is fun When theyre not yours	non-sexist
7253	People why are you so fucking mean Me 	non-sexist
7254	I dont really have feelings but Im so good at faking it	non-sexist
7256	Ill show you mine if you show me yours	non-sexist
7257	My favorite DM is the one I have between both my accounts Its where I  people to block them And I send myself dick pics	non-sexist
7258	When she thinks she won the argument but you tell her hold TF up then flip the whole thing on her ass 	non-sexist
7259	FFS youre such a loser  	non-sexist
7260	When your wingman gets bunned up and leaves you to fend for yourself 	non-sexist
7261	Im confident cause Ive earned the right to be dont confuse that with arrogance	non-sexist
7262	Headed to Atlanta to fuck me a panda Panda panda panda 	non-sexist
7263	Me whenever anyone compliments me 	non-sexist
7264	Friend do you wanna drink today Me 	non-sexist
7265	I like people that dont say hi when they walk by Those are my kind of people	non-sexist
7266	Waking up today like 	non-sexist
7267	If you think you dont have a gag reflex let me prove that you do	non-sexist
